Title,Description,Preconditions,Test Step #,Test Step Action,Test Step Expected Result,Test Type,Design Technique,API Path,HTTP Method,Priority,Created Date
"Negative case - username not found (GET /user/{username}, EP)",Attempt to fetch user information for a username that does not exist.,None.,1,Send GET request to /user/nonexistentuser,404 Not Found - User not found,Negative,EP,/user/nonexistentuser,GET,Medium,2025-11-16T16:04:40.605031
"Negative case - request without authorization (GET /user/{username}, Error Guessing)",Attempt to fetch user information without authorization token.,None.,1,Send GET request to /user/user1 without authorization token,401 Unauthorized,Negative,Error Guessing,/user/user1,GET,High,2025-11-16T16:04:40.605037
"Negative case - request with invalid token (GET /user/{username}, Error Guessing)",Attempt to fetch user information with an invalid authorization token.,None.,1,Send GET request to /user/user1 with invalid authorization token,401 Unauthorized,Negative,Error Guessing,/user/user1,GET,High,2025-11-16T16:04:40.605043
"Negative case - request with expired token (GET /user/{username}, Error Guessing)",Attempt to fetch user information with an expired authorization token.,None.,1,Send GET request to /user/user1 with expired authorization token,401 Unauthorized,Negative,Error Guessing,/user/user1,GET,High,2025-11-16T16:04:40.605049
"Negative case - request with token lacking permissions (GET /user/{username}, Error Guessing)",Attempt to fetch user information with a token that lacks necessary permissions.,None.,1,Send GET request to /user/user1 with token lacking permissions,403 Forbidden,Negative,Error Guessing,/user/user1,GET,High,2025-11-16T16:04:40.605055
"Negative case - Path Traversal in username (GET /user/{username}, Error Guessing)",Attempt to fetch user information using Path Traversal in username.,None.,1,Send GET request to /user/../../etc/passwd,400 Bad Request - Invalid username supplied,Negative,Error Guessing,/user/../../etc/passwd,GET,High,2025-11-16T16:04:40.605061
"Negative case - username with special characters (GET /user/{username}, EP)",Attempt to fetch user information with a username containing special characters.,None.,1,Send GET request to /user/user@name!,400 Bad Request - Invalid username supplied,Negative,EP,/user/user@name!,GET,High,2025-11-16T16:04:40.605067
"Negative case - username with whitespace (GET /user/{username}, EP)",Attempt to fetch user information with a username containing whitespace.,None.,1,Send GET request to /user/user name,400 Bad Request - Invalid username supplied,Negative,EP,/user/user name,GET,High,2025-11-16T16:04:40.605073
Positive Case: Delete valid order ID,Delete an order with a valid positive integer ID,Order with ID 1 exists,1,Send DELETE request to /store/order/1,Response code 200 and confirmation message,Positive,EP,/store/order/1,DELETE,High,2025-11-16T16:04:47.401391
Negative Case: Delete order with ID of 0,Attempt to delete an order with ID 0 which is invalid,None,1,Send DELETE request to /store/order/0,Response code 400 and error message 'Invalid ID supplied',Negative,BVA,/store/order/0,DELETE,High,2025-11-16T16:04:47.401453
Negative Case: Delete order with negative ID,Attempt to delete an order with a negative integer ID,None,1,Send DELETE request to /store/order/-1,Response code 400 and error message 'Invalid ID supplied',Negative,EP,/store/order/-1,DELETE,High,2025-11-16T16:04:47.401462
Negative Case: Delete order with non-integer ID,Attempt to delete an order with a non-integer ID,None,1,Send DELETE request to /store/order/abc,Response code 400 and error message 'Invalid ID supplied',Negative,Error Guessing,/store/order/abc,DELETE,High,2025-11-16T16:04:47.401470
Negative Case: Delete order with a very large ID,Attempt to delete an order with an extremely large integer ID,None,1,Send DELETE request to /store/order/999999999999999999999,Response code 400 and error message 'Invalid ID supplied',Negative,BVA,/store/order/999999999999999999999,DELETE,High,2025-11-16T16:04:47.401477
Negative Case: Delete order with decimal ID,Attempt to delete an order using a decimal number as ID,None,1,Send DELETE request to /store/order/1.5,Response code 400 and error message 'Invalid ID supplied',Negative,EP,/store/order/1.5,DELETE,High,2025-11-16T16:04:47.401483
Negative Case: Delete order with ID that does not exist,Attempt to delete an order with a valid ID that doesn't exist,None,1,Send DELETE request to /store/order/9999,Response code 404 and error message 'Order not found',Negative,Error Guessing,/store/order/9999,DELETE,Medium,2025-11-16T16:04:47.401491
Negative Case: Delete order without authorization,Attempt to delete an order without providing an API key,Order with ID 1 exists,1,Send DELETE request to /store/order/1 without API key,Response code 401 and error message 'Unauthorized',Negative,Error Guessing,/store/order/1,DELETE,High,2025-11-16T16:04:47.401497
Negative Case: Delete order with invalid API key,Attempt to delete an order with an invalid API key,Order with ID 1 exists,1,Send DELETE request to /store/order/1 with invalid API key,Response code 401 and error message 'Unauthorized',Negative,Error Guessing,/store/order/1,DELETE,High,2025-11-16T16:04:47.401505
Negative Case: Delete order with expired API key,Attempt to delete an order with an expired API key,Order with ID 1 exists,1,Send DELETE request to /store/order/1 with expired API key,Response code 401 and error message 'Unauthorized',Negative,Error Guessing,/store/order/1,DELETE,High,2025-11-16T16:04:47.401511
Negative Case: Delete order with missing orderId parameter,Attempt to delete an order without providing order ID,None,1,Send DELETE request to /store/order/ without orderId,Response code 404 and error message 'Not Found',Negative,EP,/store/order/,DELETE,High,2025-11-16T16:04:47.401518
Negative Case: Delete order with excessively long orderId,Attempt to delete an order with an excessively long order ID string,None,1,Send DELETE request to /store/order/123456789012345678901234567890,Response code 400 and error message 'Invalid ID supplied',Negative,Error Guessing,/store/order/123456789012345678901234567890,DELETE,High,2025-11-16T16:04:47.401524
Negative Case: Delete order with special characters in orderId,Attempt to delete an order with special characters in the order ID,None,1,Send DELETE request to /store/order/!@#$%^&*(),Response code 400 and error message 'Invalid ID supplied',Negative,Error Guessing,/store/order/!@#$%^&*(),DELETE,High,2025-11-16T16:04:47.401532
Negative Case: Delete order with whitespace orderId,Attempt to delete an order using whitespace as order ID,None,1,Send DELETE request to /store/order/ ,Response code 400 and error message 'Invalid ID supplied',Negative,Error Guessing,/store/order/ ,DELETE,High,2025-11-16T16:04:47.401555
Negative Case: Delete order with null orderId,Attempt to delete an order with a null order ID,None,1,Send DELETE request to /store/order/null,Response code 400 and error message 'Invalid ID supplied',Negative,Error Guessing,/store/order/null,DELETE,High,2025-11-16T16:04:47.401564
Negative Case: Delete order with orderId as an empty string,Attempt to delete an order with an empty string as ID,None,1,Send DELETE request to /store/order/,Response code 404 and error message 'Not Found',Negative,Error Guessing,/store/order/,DELETE,High,2025-11-16T16:04:47.401569
Negative Case: Delete order with orderId as an alphanumeric string,Attempt to delete an order with an alphanumeric string as ID,None,1,Send DELETE request to /store/order/123abc,Response code 400 and error message 'Invalid ID supplied',Negative,Error Guessing,/store/order/123abc,DELETE,High,2025-11-16T16:04:47.401592
Negative Case: Delete order with orderId as a UUID,Attempt to delete an order with a UUID as ID,None,1,Send DELETE request to /store/order/550e8400-e29b-41d4-a716-446655440000,Response code 400 and error message 'Invalid ID supplied',Negative,Error Guessing,/store/order/550e8400-e29b-41d4-a716-446655440000,DELETE,High,2025-11-16T16:04:47.401607
Positive case - valid petId,Delete a pet with a valid petId,The pet with the specified petId exists.,1,Send DELETE request to /pet/123,Response code 200 (OK) and confirmation message.,Positive,EP,/pet/123,DELETE,High,2025-11-16T16:04:49.287160
Negative case - petId is null,Attempt to delete a pet with petId set to null.,None,1,Send DELETE request to /pet/,Response code 404 (Pet not found).,Negative,EP,/pet/,DELETE,High,2025-11-16T16:04:49.287195
Negative case - invalid petId (string),Attempt to delete a pet using a string as petId.,None,1,Send DELETE request to /pet/abc,Response code 400 (Invalid ID supplied).,Negative,Error Guessing,/pet/abc,DELETE,High,2025-11-16T16:04:49.287203
Negative case - petId is negative,Attempt to delete a pet with a negative petId.,None,1,Send DELETE request to /pet/-1,Response code 400 (Invalid ID supplied).,Negative,BVA,/pet/-1,DELETE,High,2025-11-16T16:04:49.287210
Negative case - petId is zero,Attempt to delete a pet with petId set to zero.,None,1,Send DELETE request to /pet/0,Response code 400 (Invalid ID supplied).,Negative,BVA,/pet/0,DELETE,High,2025-11-16T16:04:49.287216
Negative case - petId exceeds max integer value,Attempt to delete a pet with petId exceeding max integer value.,None,1,Send DELETE request to /pet/9223372036854775808,Response code 400 (Invalid ID supplied).,Negative,BVA,/pet/9223372036854775808,DELETE,High,2025-11-16T16:04:49.287222
Negative case - petId is a decimal,Attempt to delete a pet with a decimal value as petId.,None,1,Send DELETE request to /pet/123.45,Response code 400 (Invalid ID supplied).,Negative,BVA,/pet/123.45,DELETE,High,2025-11-16T16:04:49.287229
Negative case - missing required petId,Attempt to delete a pet without providing petId.,None,1,Send DELETE request to /pet/,Response code 404 (Pet not found).,Negative,EP,/pet/,DELETE,High,2025-11-16T16:04:49.287235
Positive case - using api_key,Delete a pet with a valid petId and valid api_key.,The pet with the specified petId exists.,1,Send DELETE request to /pet/123 with header api_key: special-key,Response code 200 (OK) and confirmation message.,Positive,EP,/pet/123,DELETE,Medium,2025-11-16T16:04:49.287241
Negative case - invalid api_key,Attempt to delete a pet with an invalid api_key.,The pet with the specified petId exists.,1,Send DELETE request to /pet/123 with header api_key: invalid-key,Response code 403 (Forbidden).,Negative,Error Guessing,/pet/123,DELETE,Medium,2025-11-16T16:04:49.287247
Negative case - missing api_key,Attempt to delete a pet without providing api_key when required.,The pet with the specified petId exists.,1,Send DELETE request to /pet/123 without api_key,Response code 403 (Forbidden).,Negative,EP,/pet/123,DELETE,Medium,2025-11-16T16:04:49.287253
Negative case - pet not found,Attempt to delete a pet that does not exist.,The pet with the specified petId does not exist.,1,Send DELETE request to /pet/9999,Response code 404 (Pet not found).,Negative,EP,/pet/9999,DELETE,High,2025-11-16T16:04:49.287259
Negative case - attempt to delete a pet twice,Attempt to delete a pet that has already been deleted.,The pet with the specified petId has been deleted.,1,Send DELETE request to /pet/123,Response code 200 (OK) on first request.,Negative,State Transition Testing,/pet/123,DELETE,High,2025-11-16T16:04:49.287264
,,,2,Send DELETE request to /pet/123 again,Response code 404 (Pet not found).,Negative,State Transition Testing,/pet/123,DELETE,High,
Negative case - api_key with missing permission,Attempt to delete a pet with api_key that lacks required permissions.,The pet with the specified petId exists.,1,Send DELETE request to /pet/123 with header api_key: special-key (no permission),Response code 403 (Forbidden).,Negative,Error Guessing,/pet/123,DELETE,Medium,2025-11-16T16:04:49.287270
Negative case - sql injection in petId,Attempt to delete a pet using SQL injection in petId.,None,1,Send DELETE request to /pet/1 OR 1=1,Response code 400 (Invalid ID supplied).,Negative,Error Guessing,/pet/1 OR 1=1,DELETE,High,2025-11-16T16:04:49.287276
Negative case - xss in petId,Attempt to delete a pet using XSS in petId.,None,1,Send DELETE request to /pet/<script>alert('XSS')</script>,Response code 400 (Invalid ID supplied).,Negative,Error Guessing,/pet/<script>alert('XSS')</script>,DELETE,High,2025-11-16T16:04:49.287282
Negative case - command injection in petId,Attempt to delete a pet using command injection in petId.,None,1,Send DELETE request to /pet/; rm -rf /,Response code 400 (Invalid ID supplied).,Negative,Error Guessing,/pet/; rm -rf /,DELETE,High,2025-11-16T16:04:49.287288
Negative case - path traversal in petId,Attempt to delete a pet using path traversal in petId.,None,1,Send DELETE request to /pet/../../../etc/passwd,Response code 400 (Invalid ID supplied).,Negative,Error Guessing,/pet/../../../etc/passwd,DELETE,High,2025-11-16T16:04:49.287295
Negative case - api_key with invalid format,Attempt to delete a pet using an invalid formatted api_key.,The pet with the specified petId exists.,1,Send DELETE request to /pet/123 with header api_key: 1234567890,Response code 403 (Forbidden).,Negative,Error Guessing,/pet/123,DELETE,Medium,2025-11-16T16:04:49.287302
Positive case: Successful operation with valid api_key,Ensure that GET request to /store/inventory returns a successful response when a valid api_key is provided.,Valid api_key is available.,1,Send GET request to /store/inventory with valid api_key in headers.,Response code 200 with a JSON object containing status codes to quantities.,Positive,EP,/store/inventory,GET,High,2025-11-16T16:04:51.915877
Negative case: Request without api_key,Ensure that GET request to /store/inventory returns an error when no api_key is provided.,No api_key provided.,1,Send GET request to /store/inventory without api_key in headers.,Response code 401 Unauthorized.,Negative,Error Guessing,/store/inventory,GET,High,2025-11-16T16:04:51.915900
Negative case: Request with invalid api_key,Ensure that GET request to /store/inventory returns an error when an invalid api_key is provided.,Invalid api_key is used.,1,Send GET request to /store/inventory with invalid api_key in headers.,Response code 401 Unauthorized.,Negative,Error Guessing,/store/inventory,GET,High,2025-11-16T16:04:51.915907
Negative case: Request with expired api_key,Ensure that GET request to /store/inventory returns an error when an expired api_key is used.,Expired api_key is used.,1,Send GET request to /store/inventory with expired api_key in headers.,Response code 401 Unauthorized.,Negative,Error Guessing,/store/inventory,GET,High,2025-11-16T16:04:51.915912
Negative case: Request with api_key without required permissions,Ensure that GET request to /store/inventory returns an error when api_key lacks necessary permissions.,api_key without required permissions is used.,1,Send GET request to /store/inventory with api_key lacking required permissions in headers.,Response code 403 Forbidden.,Negative,Error Guessing,/store/inventory,GET,High,2025-11-16T16:04:51.915917
Negative case: 404 Not Found for non-existent resource,Ensure that GET request to /store/inventory returns 404 when accessing a non-existent resource.,N/A,1,Send GET request to a non-existent endpoint.,Response code 404 Not Found.,Negative,Error Guessing,/store/inventory,GET,High,2025-11-16T16:04:51.915982
Negative case: 409 Conflict when creating duplicate resource,Ensure that a conflict is returned when attempting to create a duplicate resource.,N/A,1,Attempt to create a duplicate resource with POST request.,Response code 409 Conflict.,Negative,Error Guessing,/store/inventory,POST,High,2025-11-16T16:04:51.916008
Negative case: SQL Injection attempt,Ensure that the API is not vulnerable to SQL injection attempts.,N/A,1,Send GET request with SQL injection in headers.,Response code 400 Bad Request or similar error.,Negative,Error Guessing,/store/inventory,GET,High,2025-11-16T16:04:51.916013
Negative case: XSS attack attempt,Ensure that the API is not vulnerable to XSS attacks.,N/A,1,Send GET request with XSS payload in headers.,Response code 400 Bad Request or similar error.,Negative,Error Guessing,/store/inventory,GET,High,2025-11-16T16:04:51.916017
Negative case: Command injection attempt,Ensure that the API is not vulnerable to command injection attempts.,N/A,1,Send GET request with command injection in headers.,Response code 400 Bad Request or similar error.,Negative,Error Guessing,/store/inventory,GET,High,2025-11-16T16:04:51.916022
Negative case: Path Traversal attempt,Ensure that the API is not vulnerable to path traversal attempts.,N/A,1,Send GET request with path traversal payload in headers.,Response code 400 Bad Request or similar error.,Negative,Error Guessing,/store/inventory,GET,High,2025-11-16T16:04:51.916026
Negative case: Request with invalid UUID format,Ensure that the API handles invalid UUID formats correctly.,N/A,1,Send GET request with invalid UUID format in headers.,Response code 400 Bad Request.,Negative,Error Guessing,/store/inventory,GET,Medium,2025-11-16T16:04:51.916030
Negative case: Request with invalid date-time format,Ensure that the API handles invalid date-time formats correctly.,N/A,1,Send GET request with invalid date-time format in headers.,Response code 400 Bad Request.,Negative,Error Guessing,/store/inventory,GET,Medium,2025-11-16T16:04:51.916041
Negative case: Request with invalid email format,Ensure that the API handles invalid email formats correctly.,N/A,1,Send GET request with invalid email format in headers.,Response code 400 Bad Request.,Negative,Error Guessing,/store/inventory,GET,Medium,2025-11-16T16:04:51.916046
Negative case: Request with invalid URL format,Ensure that the API handles invalid URL formats correctly.,N/A,1,Send GET request with invalid URL format in headers.,Response code 400 Bad Request.,Negative,Error Guessing,/store/inventory,GET,Medium,2025-11-16T16:04:51.916050
Negative case: Request with special characters in headers,Ensure that the API handles special characters in headers correctly.,N/A,1,Send GET request with special characters in headers.,Response code 400 Bad Request.,Negative,Error Guessing,/store/inventory,GET,Medium,2025-11-16T16:04:51.916055
Negative case: Request with empty header,Ensure that the API handles empty headers correctly.,N/A,1,Send GET request with empty headers.,Response code 400 Bad Request.,Negative,Error Guessing,/store/inventory,GET,Medium,2025-11-16T16:04:51.916058
Negative case: Request with null header value,Ensure that the API handles null header values correctly.,N/A,1,Send GET request with null value in headers.,Response code 400 Bad Request.,Negative,Error Guessing,/store/inventory,GET,Medium,2025-11-16T16:04:51.916062
Negative case: Request with very long api_key,Ensure that the API handles excessively long api_key values.,N/A,1,Send GET request with an excessively long api_key in headers.,Response code 400 Bad Request.,Negative,BVA,/store/inventory,GET,Medium,2025-11-16T16:04:51.916066
Negative case: Request with very short api_key,Ensure that the API handles excessively short api_key values.,N/A,1,Send GET request with an excessively short api_key in headers.,Response code 400 Bad Request.,Negative,BVA,/store/inventory,GET,Medium,2025-11-16T16:04:51.916070
Positive case - valid status value,Test the API with a valid status value 'available',None,1,Send GET request with query parameter status=available,Response code 200 and a list of available pets,Positive,EP,/pet/findByStatus,GET,High,2025-11-16T16:04:53.937815
Positive case - valid status value 'pending',Test the API with a valid status value 'pending',None,1,Send GET request with query parameter status=pending,Response code 200 and a list of pending pets,Positive,EP,/pet/findByStatus,GET,High,2025-11-16T16:04:53.937861
Positive case - valid status value 'sold',Test the API with a valid status value 'sold',None,1,Send GET request with query parameter status=sold,Response code 200 and a list of sold pets,Positive,EP,/pet/findByStatus,GET,High,2025-11-16T16:04:53.937875
Positive case - multiple valid status values,"Test the API with multiple valid status values 'available,pending'",None,1,"Send GET request with query parameter status=available,pending",Response code 200 and a list of pets that are available and pending,Positive,EP,/pet/findByStatus,GET,High,2025-11-16T16:04:53.937886
Positive case - multiple status values including 'sold',"Test the API with multiple valid status values 'sold,available'",None,1,"Send GET request with query parameter status=sold,available",Response code 200 and a list of pets that are sold and available,Positive,EP,/pet/findByStatus,GET,High,2025-11-16T16:04:53.937898
Positive case - default status value,"Test the API without any status parameter, expect default 'available'",None,1,Send GET request without status parameter,Response code 200 and a list of available pets,Positive,EP,/pet/findByStatus,GET,High,2025-11-16T16:04:53.937909
Negative case - missing required parameter 'status',Test the API with missing required parameter 'status',None,1,Send GET request without any parameters,Response code 400 and an error message indicating missing status,Negative,EP,/pet/findByStatus,GET,High,2025-11-16T16:04:53.937919
Negative case - invalid status value 'unknown',Test the API with an invalid status value 'unknown',None,1,Send GET request with query parameter status=unknown,Response code 400 and an error message indicating invalid status value,Negative,EP,/pet/findByStatus,GET,High,2025-11-16T16:04:53.937930
Negative case - status value with special characters,Test the API with special characters in status value,None,1,Send GET request with query parameter status=<script>alert('XSS')</script>,Response code 400 and an error message indicating invalid status value,Negative,Error Guessing,/pet/findByStatus,GET,Medium,2025-11-16T16:04:53.937941
Negative case - empty status value,Test the API with an empty status value,None,1,Send GET request with query parameter status=,Response code 400 and an error message indicating invalid status value,Negative,EP,/pet/findByStatus,GET,Medium,2025-11-16T16:04:53.937952
Negative case - status value as array,Test the API with status value as an array instead of comma-separated string,None,1,Send GET request with query parameter status[]=available&status[]=pending,Response code 400 and an error message indicating invalid status value,Negative,Error Guessing,/pet/findByStatus,GET,Medium,2025-11-16T16:04:53.937963
Negative case - invalid query parameter type,Test the API with a non-string type for status,None,1,Send GET request with query parameter status=12345,Response code 400 and an error message indicating invalid status value,Negative,Error Guessing,/pet/findByStatus,GET,Medium,2025-11-16T16:04:53.937973
Negative case - SQL injection in status value,Test the API with SQL injection payload in status value,None,1,Send GET request with query parameter status=' OR '1'='1,Response code 400 and an error message indicating invalid status value,Negative,Error Guessing,/pet/findByStatus,GET,Medium,2025-11-16T16:04:53.937982
Negative case - path traversal in status value,Test the API with path traversal payload in status value,None,1,Send GET request with query parameter status=../../../etc/passwd,Response code 400 and an error message indicating invalid status value,Negative,Error Guessing,/pet/findByStatus,GET,Medium,2025-11-16T16:04:53.937992
Negative case - very long status value,Test the API with status value exceeding maximum length,None,1,Send GET request with query parameter status=verylongstatusvalueovermaximumlength,Response code 400 and an error message indicating invalid status value,Negative,BVA,/pet/findByStatus,GET,Medium,2025-11-16T16:04:53.938003
Negative case - very short status value,Test the API with status value shorter than minimum length,None,1,Send GET request with query parameter status=a,Response code 400 and an error message indicating invalid status value,Negative,BVA,/pet/findByStatus,GET,Medium,2025-11-16T16:04:53.938013
Negative case - missing authorization token,Test the API without providing an authorization token,None,1,Send GET request with query parameter status=available without Authorization header,Response code 401 and an error message indicating missing token,Negative,Error Guessing,/pet/findByStatus,GET,High,2025-11-16T16:04:53.938039
Negative case - invalid authorization token,Test the API with an invalid authorization token,None,1,Send GET request with query parameter status=available with invalid Authorization header,Response code 401 and an error message indicating invalid token,Negative,Error Guessing,/pet/findByStatus,GET,High,2025-11-16T16:04:53.938050
Negative case - expired authorization token,Test the API with an expired authorization token,None,1,Send GET request with query parameter status=available with expired Authorization header,Response code 401 and an error message indicating token expired,Negative,Error Guessing,/pet/findByStatus,GET,High,2025-11-16T16:04:53.938060
Negative case - token without necessary permissions,Test the API with a token that lacks required permissions for reading pets,None,1,Send GET request with query parameter status=available with token that doesn't have read:pets permission,Response code 403 and an error message indicating insufficient permissions,Negative,Error Guessing,/pet/findByStatus,GET,High,2025-11-16T16:04:53.938070
Negative case - querying non-existent resource,Test the API with a query that would return an empty list (non-existent pets),None,1,Send GET request with query parameter status=pending on a store with no pending pets,Response code 200 and an empty list of pets,Negative,Error Guessing,/pet/findByStatus,GET,Medium,2025-11-16T16:04:53.938081
Negative case - querying deleted resources,Test the API with a request that would return deleted pets,None,1,Send GET request with query parameter status=sold on a store with no sold pets,Response code 200 and an empty list of pets,Negative,Error Guessing,/pet/findByStatus,GET,Medium,2025-11-16T16:04:53.938092
"Positive case: valid orderId within range (GET /store/order/{orderId}, EP)",Проверка успешного получения заказа с валидным orderId (5).,Заказ с ID 5 существует.,1,Отправить GET запрос на /store/order/5,"Код ответа 200, тело содержит информацию о заказе.",Positive,EP,/store/order/5,GET,High,2025-11-16T16:04:54.038715
"Positive case: valid orderId minimum value (GET /store/order/{orderId}, BVA)",Проверка успешного получения заказа с минимальным orderId (1).,Заказ с ID 1 существует.,1,Отправить GET запрос на /store/order/1,"Код ответа 200, тело содержит информацию о заказе.",Positive,BVA,/store/order/1,GET,High,2025-11-16T16:04:54.038751
"Positive case: valid orderId maximum value (GET /store/order/{orderId}, BVA)",Проверка успешного получения заказа с максимальным orderId (10).,Заказ с ID 10 существует.,1,Отправить GET запрос на /store/order/10,"Код ответа 200, тело содержит информацию о заказе.",Positive,BVA,/store/order/10,GET,High,2025-11-16T16:04:54.038761
"Negative case: orderId below minimum (GET /store/order/{orderId}, BVA)",Проверка получения ошибки при запросе с orderId (0).,Нет необходимых условий.,1,Отправить GET запрос на /store/order/0,"Код ответа 400, сообщение 'Invalid ID supplied'.",Negative,BVA,/store/order/0,GET,High,2025-11-16T16:04:54.038768
"Negative case: orderId below minimum (GET /store/order/{orderId}, BVA)",Проверка получения ошибки при запросе с orderId (-1).,Нет необходимых условий.,1,Отправить GET запрос на /store/order/-1,"Код ответа 400, сообщение 'Invalid ID supplied'.",Negative,BVA,/store/order/-1,GET,High,2025-11-16T16:04:54.038774
"Negative case: orderId above maximum (GET /store/order/{orderId}, BVA)",Проверка получения ошибки при запросе с orderId (11).,Нет необходимых условий.,1,Отправить GET запрос на /store/order/11,"Код ответа 400, сообщение 'Invalid ID supplied'.",Negative,BVA,/store/order/11,GET,High,2025-11-16T16:04:54.038780
"Negative case: orderId above maximum (GET /store/order/{orderId}, BVA)",Проверка получения ошибки при запросе с orderId (12).,Нет необходимых условий.,1,Отправить GET запрос на /store/order/12,"Код ответа 400, сообщение 'Invalid ID supplied'.",Negative,BVA,/store/order/12,GET,High,2025-11-16T16:04:54.038786
